Leaf_ID,Technique,Segment_Definition,Dev_Count,Mon_Count,Dev_Pct,Mon_Pct,PSI,Dev_BR,Mon_BR,Delta_BR,BadRate_pvalue,BadRate_pvalue_adj,Dev_AUC,Mon_AUC,Dev_Gini,Mon_Gini,Delta_Gini,Dev_KS,Mon_KS,Delta_KS,ScoreShift_pvalue,ScoreShift_pvalue_adj,Statistically_Significant,Weight_Dev,Weight_Mon,Mon_Weight_Pct,Business_Impact_Score,SIS_Raw,DIS_Raw,Severity_Score,Portfolio_Impact_Score,Confidence_Score,PSI_Interpretation,Drift_Explanation
1,GradientBoosting_v3,GBDT Tree 62: annual_income < 9.455e+04 AND debt_to_income >= 45.11,1743,1745,0.3486,0.349,4.5871564660258967e-07,0.1359724612736661,0.16905444126074498,0.033081979987078874,0.006584116067636758,0.3839216287374333,0.5944926342450171,0.5742033898305084,0.18898526849003416,0.1484067796610169,-0.04057848882901727,0.1812244692117605,0.13311513734658093,-0.04810933186517957,0.0040176911495223636,0.02316583620256512,True,120108066.0,120204238.0,0.35214410569327015,0.1279,0.0523,0.1218,7.6709,0.014162,0.9768,Population Share: Stable,GBDT segment performance stable
2,GradientBoosting_v3,GBDT Tree 81: annual_income < 9.615e+04 AND utilization_rate >= 62.54,1520,1521,0.304,0.3042,1.315356837942178e-07,0.14671052631578949,0.17751479289940827,0.03080426658361879,0.02119292616073909,0.3839216287374333,0.5823736044891453,0.5536000828966458,0.16474720897829065,0.1072001657932915,-0.05754704318499915,0.1395493567425345,0.10167865707434054,-0.03787069966819395,2.2907309017847844e-13,1.034646790639461e-11,True,103182716.0,103376328.0,0.3028459327150692,0.0974,0.0462,0.1262,6.5259,0.017506,1.0,Population Share: Stable,"Gini drop 0.0575 (Dev 0.1647 -> Mon 0.1072) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
3,GradientBoosting_v3,GBDT Tree 92: debt_to_income < 33.95 AND utilization_rate >= 81.94,279,285,0.0558,0.057,2.553287813674185e-05,0.10752688172043011,0.18596491228070175,0.07843803056027164,0.008565374984899066,0.3839216287374333,0.43386880856760374,0.5279765777488614,-0.13226238286479253,0.05595315549772284,0.18821553836251537,0.2385542168674698,0.1040988939492518,-0.134455322918218,2.0386860485413887e-07,2.5112905416123467e-06,True,19144769.0,19605058.0,0.057433961824829266,0.0033,0.0328,0.2129,5.6305,0.010728,1.0,Population Share: Stable,"KS drop 0.1345 (Dev 0.2386 -> Mon 0.1041) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
4,GradientBoosting_v3,GBDT Tree 75: debt_to_income >= 53.78,1332,1335,0.2664,0.267,1.349831840409171e-06,0.13813813813813813,0.1700374531835206,0.03189931504538246,0.022526739967239973,0.3839216287374333,0.5751922057264051,0.5555193307781612,0.15038441145281012,0.11103866155632236,-0.03934574989648776,0.15298818360854416,0.1035719397573116,-0.049416243851232555,0.0031461914444035235,0.020119342075182674,True,91340449.0,91478790.0,0.2679915220164905,0.0744,0.0387,0.1207,5.5289,0.010505,0.9799,Population Share: Stable,GBDT segment performance stable
5,GradientBoosting_v3,GBDT Tree 22: utilization_rate >= 87.42,428,430,0.0856,0.086,1.8648052423245374e-06,0.1588785046728972,0.20465116279069767,0.045772658117800485,0.08219300102573635,0.4987587906036742,0.5736111111111112,0.5173278841041999,0.14722222222222237,0.034655768208399884,-0.11256645401382248,0.19722222222222224,0.10552897395002664,-0.0916932482721956,8.033852250312201e-10,1.6747491998727742e-08,True,29362608.0,29735295.0,0.08711097910957655,0.0083,0.0452,0.25,5.3668,0.009681,1.0,Population Share: Stable,"Gini drop 0.1126 (Dev 0.1472 -> Mon 0.0347) | KS drop 0.0917 (Dev 0.1972 -> Mon 0.1055) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
6,GradientBoosting_v3,GBDT Tree 27: utilization_rate >= 9.705 AND debt_to_income >= 61.43,656,657,0.1312,0.1314,3.046459081042053e-07,0.1402439024390244,0.1780821917808219,0.037838289341797504,0.060947558153181314,0.4987587906036742,0.5542803731113166,0.52105096549541,0.10856074622263323,0.042101930990819936,-0.0664588152318133,0.1676688251618872,0.08703703703703702,-0.08063178812485017,0.0076032151927529,0.037463114858837014,True,45474689.0,45623676.0,0.13365675662333562,0.0187,0.0357,0.1849,4.4765,0.008733,0.9625,Population Share: Stable,"Gini drop 0.0665 (Dev 0.1086 -> Mon 0.0421) | KS drop 0.0806 (Dev 0.1677 -> Mon 0.0870) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
7,GradientBoosting_v3,GBDT Tree 43: utilization_rate >= 80.48 AND utilization_rate < 87.42,342,349,0.0684,0.0698,2.836565919575067e-05,0.13742690058479531,0.19484240687679083,0.057415506291995516,0.042767468447515666,0.445768613433721,0.5435629282365668,0.49118170399832534,0.08712585647313364,-0.017636592003349327,-0.10476244847648297,0.11669671835557158,0.09514339543646644,-0.02155332291910514,5.147898852975105e-06,4.982430675558048e-05,True,22894637.0,23309694.0,0.06828687144636103,0.0053,0.0341,0.1838,4.4717,0.007312,1.0,Population Share: Stable,"Gini drop 0.1048 (Dev 0.0871 -> Mon -0.0176) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
8,GradientBoosting_v3,GBDT Tree 2: debt_to_income >= 42.14 AND utilization_rate < 23.47,471,470,0.0942,0.094,4.250798624627299e-07,0.09766454352441614,0.11702127659574468,0.01935673307132854,0.3374838585533313,0.8279336142505566,0.641227621483376,0.5913253012048193,0.28245524296675195,0.1826506024096386,-0.09980464055711336,0.26976982097186697,0.20219058050383354,-0.06757924046803343,4.504392268499866e-09,8.137935365089757e-08,True,31970996.0,31585407.0,0.09253097133707511,0.0096,0.0354,0.1867,3.7604,0.009382,1.0,Population Share: Stable,"Gini drop 0.0998 (Dev 0.2825 -> Mon 0.1827) | KS drop 0.0676 (Dev 0.2698 -> Mon 0.2022) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
9,GradientBoosting_v3,GBDT Tree 82: utilization_rate >= 75.54 AND utilization_rate < 80.48,270,263,0.054,0.0526,3.677509754885422e-05,0.18518518518518517,0.1520912547528517,-0.03309393043233347,0.3078973019310891,0.8010822163716601,0.601590909090909,0.5487668161434978,0.2031818181818179,0.09753363228699552,-0.10564818589482239,0.21636363636363642,0.207847533632287,-0.008516102731349423,0.00036688355633057815,0.002840726964731048,True,18126039.0,17400680.0,0.05097613028464747,0.003,0.0281,0.1473,3.2757,0.005557,0.9972,Population Share: Stable,"Gini drop 0.1056 (Dev 0.2032 -> Mon 0.0975) | Population share stable (low PSI) but the score no longer separates risk inside this segment -- concept drift, not exposure drift"
10,GradientBoosting_v3,GBDT Tree 63: debt_to_income < 28.73 AND utilization_rate < 79.78,1282,1274,0.2564,0.2548,1.0015682157610606e-05,0.093603744149766,0.07849293563579278,-0.015110808513973215,0.17322561177556972,0.7578034012984253,0.6774526678141135,0.6805451448040886,0.354905335628227,0.36109028960817713,0.006184953979950114,0.2905909351692484,0.31139693356047704,0.020805998391228653,2.5694156740362787e-07,3.027441946364485e-06,True,89878929.0,89328613.0,0.26169247491677644,0.0667,0.0189,0.0359,3.1914,0.001576,1.0,Population Share: Stable,GBDT segment performance stable
