Rank,Segment,Population_Pct,Delta_Gini,Delta_KS,Delta_BR,Severity_PopulationXGini,SIS_Raw,Statistically_Significant
1,income < 5.001e+04 AND age >= 28.5,0.1132,-0.2861301012420413,0.040819503879205424,-0.2733482619771551,0.03239,0.1077,True
2,income >= 3.798e+04 AND income < 5.001e+04 AND age < 28.5,0.1144,-0.1327185908319185,0.07987266553480474,-0.5797765452937866,0.015183,0.1431,True
3,income < 3.798e+04 AND age < 28.5,0.1332,0.10387534481953431,-0.03218047259936091,-0.526713830394812,0.013836,0.1266,True
4,region = South AND income >= 5.001e+04,0.063,0.03414884758154435,-0.011834930582019565,-0.23143156633722678,0.002151,0.0393,True
